id,Tract,Subdivision,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force,Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed,Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed,Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces,Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces,Percent!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate,"Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations","Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations",Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Service occupations,Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Service occupations,Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Sales and office occupations,Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Sales and office occupations,"Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations","Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations","Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations","Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations","Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining","Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining",Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Construction,Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Construction,Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Manufacturing,Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Manufacturing,Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Wholesale trade,Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Wholesale trade,Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Retail trade,Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Retail trade,"Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Transportation and warehousing, and utilities","Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Transportation and warehousing, and utilities",Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Information,Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Information,"Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Finance and insurance, and real estate and rental and leasing","Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Finance and insurance, and real estate and rental and leasing","Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Professional, scientific, and management, and administrative and waste management services","Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Professional, scientific, and management, and administrative and waste management services","Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Educational services, and health care and social assistance","Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Educational services, and health care and social assistance","Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Arts, entertainment, and recreation, and accommodation and food services","Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Arts, entertainment, and recreation, and accommodation and food services","Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Other services, except public administration","Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Other services, except public administration",Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Public administration,Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Public administration,Estimate!!INCOME AND BENEFITS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Total households!!Median household income (dollars),Estimate!!INCOME AND BENEFITS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Total households!!Mean household income (dollars),Estimate!!INCOME AND BENEFITS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Total households!!With earnings!!Mean earnings (dollars),Estimate!!INCOME AND BENEFITS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Per capita income (dollars),Estimate!!INCOME AND BENEFITS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Median earnings for workers (dollars),Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade,"Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma",Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency),"Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree",Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate or higher,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher,Estimate!!Total!!MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings,Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma",Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency),"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree",Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree,Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree,Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree,Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate or higher,Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher
1400000US12086000107,"Census Tract 1.07, Miami-Dade County, Florida","Miami Beach CCD, Miami-Dade County, Florida",2450,1563,63.8,1534,62.6,29,1.2,0,0,1.9,563,36.7,351,22.9,468,30.5,143,9.3,9,0.6,0,0,79,5.1,81,5.3,0,0,183,11.9,9,0.6,50,3.3,274,17.9,204,13.3,185,12.1,265,17.3,160,10.4,44,2.9,52389,81011,78030,44246,47679,2336,64,11,249,704,173,589,546,2261,1135,48442,2.7,0.5,10.7,30.1,7.4,25.2,23.4,96.8,48.6
1400000US12086000109,"Census Tract 1.09, Miami-Dade County, Florida","Miami CCD, Miami-Dade County, Florida",2463,1571,63.8,1507,61.2,64,2.6,0,0,4.1,252,16.7,348,23.1,491,32.6,230,15.3,186,12.3,0,0,176,11.7,84,5.6,20,1.3,195,12.9,153,10.2,59,3.9,145,9.6,129,8.6,69,4.6,293,19.4,153,10.2,31,2.1,41518,58325,64686,22526,24052,2009,157,164,661,290,82,449,206,1688,655,27869,7.8,8.2,32.9,14.4,4.1,22.3,10.3,84,32.6
1400000US12086000113,"Census Tract 1.13, Miami-Dade County, Florida","Miami CCD, Miami-Dade County, Florida",7079,4256,60.1,3947,55.8,309,4.4,0,0,7.3,1913,48.5,368,9.3,1458,36.9,80,2,128,3.2,15,0.4,152,3.9,125,3.2,268,6.8,602,15.3,251,6.4,58,1.5,510,12.9,575,14.6,759,19.2,294,7.4,226,5.7,112,2.8,61991,100468,112150,49393,42188,6653,100,183,658,1621,629,2026,1436,6370,3462,43706,1.5,2.8,9.9,24.4,9.5,30.5,21.6,95.7,52
1400000US12086000115,"Census Tract 1.15, Miami-Dade County, Florida","Miami Beach CCD, Miami-Dade County, Florida",2262,1421,62.8,1350,59.7,71,3.1,0,0,5,541,40.1,259,19.2,378,28,72,5.3,100,7.4,22,1.6,137,10.1,62,4.6,48,3.6,158,11.7,77,5.7,5,0.4,101,7.5,285,21.1,237,17.6,123,9.1,61,4.5,34,2.5,72879,180609,136737,69924,34293,1816,69,92,257,390,134,436,438,1655,874,46351,3.8,5.1,14.2,21.5,7.4,24,24.1,91.1,48.1
1400000US12086000118,"Census Tract 1.18, Miami-Dade County, Florida","Miami Beach CCD, Miami-Dade County, Florida",867,394,45.4,379,43.7,15,1.7,0,0,3.8,196,51.7,28,7.4,115,30.3,11,2.9,29,7.7,21,5.5,9,2.4,9,2.4,25,6.6,33,8.7,18,4.7,8,2.1,68,17.9,41,10.8,79,20.8,53,14,0,0,15,4,111250,289169,260792,130286,58438,786,30,7,76,101,39,190,343,749,533,80739,3.8,0.9,9.7,12.8,5,24.2,43.6,95.3,67.8
1400000US12086000119,"Census Tract 1.19, Miami-Dade County, Florida","Miami CCD, Miami-Dade County, Florida",3545,1868,52.7,1785,50.4,83,2.3,0,0,4.4,1136,63.6,120,6.7,439,24.6,0,0,90,5,0,0,133,7.5,156,8.7,67,3.8,138,7.7,103,5.8,34,1.9,216,12.1,438,24.5,176,9.9,243,13.6,81,4.5,0,0,59004,107847,106674,54232,51163,3347,168,41,332,865,244,1008,689,3138,1697,52435,5,1.2,9.9,25.8,7.3,30.1,20.6,93.8,50.7
1400000US12086000120,"Census Tract 1.20, Miami-Dade County, Florida","Miami CCD, Miami-Dade County, Florida",3670,2598,70.8,2453,66.8,145,4,0,0,5.6,1113,45.4,394,16.1,500,20.4,256,10.4,190,7.7,0,0,178,7.3,113,4.6,138,5.6,171,7,224,9.1,25,1,265,10.8,355,14.5,501,20.4,383,15.6,80,3.3,20,0.8,79954,130711,131696,55436,43791,3278,158,43,776,566,280,878,577,3077,1455,45771,4.8,1.3,23.7,17.3,8.5,26.8,17.6,93.9,44.4
1400000US12086000121,"Census Tract 1.21, Miami-Dade County, Florida","Miami CCD, Miami-Dade County, Florida",1176,453,38.5,423,36,30,2.6,0,0,6.6,204,48.2,32,7.6,124,29.3,7,1.7,56,13.2,0,0,7,1.7,6,1.4,47,11.1,67,15.8,64,15.1,14,3.3,107,25.3,41,9.7,52,12.3,11,2.6,7,1.7,0,0,106964,173285,162642,77650,60132,1093,0,43,134,196,103,409,208,1050,617,61118,0,3.9,12.3,17.9,9.4,37.4,19,96.1,56.5
1400000US12086000122,"Census Tract 1.22, Miami-Dade County, Florida","Miami CCD, Miami-Dade County, Florida",3743,1954,52.2,1925,51.4,29,0.8,0,0,1.5,1093,56.8,145,7.5,495,25.7,44,2.3,148,7.7,0,0,139,7.2,142,7.4,162,8.4,179,9.3,68,3.5,30,1.6,350,18.2,239,12.4,291,15.1,220,11.4,40,2.1,65,3.4,74583,125571,111883,61782,49865,3558,87,67,634,542,234,1241,753,3404,1994,50712,2.4,1.9,17.8,15.2,6.6,34.9,21.2,95.7,56
1400000US12086000123,"Census Tract 1.23, Miami-Dade County, Florida","Miami Beach CCD, Miami-Dade County, Florida",3733,1878,50.3,1829,49,49,1.3,0,0,2.6,1007,55.1,205,11.2,437,23.9,31,1.7,149,8.1,0,0,36,2,22,1.2,45,2.5,214,11.7,141,7.7,19,1,439,24,285,15.6,351,19.2,72,3.9,159,8.7,46,2.5,61250,99580,112534,44843,38512,3483,70,90,554,703,296,1026,744,3323,1770,38727,2,2.6,15.9,20.2,8.5,29.5,21.4,95.4,50.8
1400000US12086000124,"Census Tract 1.24, Miami-Dade County, Florida","Miami CCD, Miami-Dade County, Florida",2798,1808,64.6,1711,61.2,97,3.5,0,0,5.4,279,16.3,499,29.2,354,20.7,246,14.4,333,19.5,4,0.2,192,11.2,45,2.6,18,1.1,232,13.6,126,7.4,0,0,37,2.2,346,20.2,291,17,218,12.7,184,10.8,18,1.1,35846,52428,44753,20563,24035,2016,194,130,608,405,241,301,137,1692,438,25408,9.6,6.4,30.2,20.1,12,14.9,6.8,83.9,21.7
1400000US12086000125,"Census Tract 1.25, Miami-Dade County, Florida","Miami Beach CCD, Miami-Dade County, Florida",2478,1544,62.3,1508,60.9,36,1.5,0,0,2.3,529,35.1,344,22.8,435,28.8,67,4.4,133,8.8,0,0,86,5.7,24,1.6,41,2.7,229,15.2,124,8.2,10,0.7,199,13.2,193,12.8,287,19,113,7.5,176,11.7,26,1.7,47637,59258,66090,29577,27489,2335,43,77,297,693,396,474,355,2215,829,28563,1.8,3.3,12.7,29.7,17,20.3,15.2,94.9,35.5
